subdivision_name,signal_type,in_time_type,call_on_flag,near_side_signal_enabled,tctl_raw,tind_raw,fleet_control_bit_raw,near_side_signal_bit_control_raw,call_on_bit_raw,signal_count,distinct_control_point_count,entry_route_total,exit_route_total,signal_examples,resolved_pind_mnemonics,resolved_pctl_mnemonics,resolved_sind_mnemonics,resolved_tctl_mnemonics,resolved_in_time_mnemonics,resolved_call_on_mnemonics,resolved_near_side_ctl_mnemonics
SAN DIEGO,L,OPPOSING,False,False,5;1;100012;0005|0;1;100012;0005,0;1;100012;0005,0;1;100012;0005,0;0;0;0,0;0;0;0,2,1,2,2,100251:WAA_B|100252:WBA_B,WHK,WGHS,,SIGSTOP,EHK,,
SAN DIEGO,L,OPPOSING,False,False,5;1;100023;0005|0;1;100023;0005,0;1;100023;0005,0;1;100023;0005,0;0;0;0,0;0;0;0,2,1,2,2,100907:WAA_B|100911:WBA_B,WHK,WHS,,SIGSTOP,EHK,,
SAN DIEGO,R,INTIMEBIT,False,False,0;1;100002;0005|0;1;100002;0005,0;1;100002;0005,0;1;100002;0005,0;0;0;0,0;0;0;0,2,1,5,5,100148:2EA_B|100167:4EA_B,2EGK|4EGK,2EGHS|4EGHS,,,2TEK|4TEK,,
SAN DIEGO,R,INTIMEBIT,False,False,0;1;100004;0005|0;1;100004;0005,0;1;100004;0005,0;1;100004;0005,0;0;0;0,0;0;0;0,2,1,5,5,100389:2E|100433:4E,2EGK|4EGK,2EGHS|4EGHS,,,2TEK|4TEK,,
SAN DIEGO,R,INTIMEBIT,False,False,0;1;100005;0005|0;1;100005;0005,0;1;100005;0005,0;1;100005;0005,0;0;0;0,0;0;0;0,2,1,5,5,100661:4E|100689:2E,2EHK|4EHK,2EHS|4EGHS,,,2TEK|4TEK,,
SAN DIEGO,R,INTIMEBIT,False,False,0;1;100007;0005|0;1;100007;0005,0;1;100007;0005,0;1;100007;0005,0;0;0;0,0;0;0;0,2,1,5,5,100340:1E-SIGNAL|100409:2E-SIGNAL,2EGK|4EGK,2EGHS|4EGHS,,,2TEK|4TEK,,
SAN DIEGO,R,INTIMEBIT,False,False,0;1;100009;0005|0;1;100009;0005,0;1;100009;0005,0;1;100009;0005,0;0;0;0,0;0;0;0,2,1,2,2,100214:EBA_B|100917:EAA_B,EHK,EHS,EHK,,TEK,,
SAN DIEGO,R,INTIMEBIT,False,False,0;1;100010;0005|0;1;100010;0005,0;1;100010;0005,0;1;100010;0005,0;0;0;0,0;0;0;0,2,1,3,3,100635:2EA_B|100905:4EA_B,2EGK|4EGK,2EGHS|4EGHS,,,2TEK|4TEK,,
SAN DIEGO,R,INTIMEBIT,False,False,0;1;100015;0005|0;1;100015;0005,0;1;100015;0005,0;1;100015;0005,0;0;0;0,0;0;0;0,2,1,2,2,100818:EC_D|100819:EA_B,EGK,EGHS,,,TEK,,
SAN DIEGO,R,INTIMEBIT,False,False,0;1;100016;0005|0;1;100016;0005,0;1;100016;0005,0;1;100016;0005,0;0;0;0,0;0;0;0,2,1,2,2,100306:EA_B|100307:EC_D,EGK,EGHS,,,TEK,,
SAN DIEGO,R,INTIMEBIT,False,False,0;1;100017;0005|0;1;100017;0005,0;1;100017;0005,0;1;100017;0005,0;0;0;0,0;0;0;0,2,1,5,5,100754:2EA_B|100765:4EA_B,2EGK|4EGK,2EGHS|4EGHS,,,2TEK|4TEK,,
SAN DIEGO,R,INTIMEBIT,False,False,0;1;100020;0005|0;1;100020;0005,0;1;100020;0005,0;1;100020;0005,0;0;0;0,0;0;0;0,2,1,5,5,100874:1E-SIGNAL|100910:2E-SIGNAL,2EGK|4EGK,2EGHS|4EGHS,,,2TEK|4TEK,,
SAN DIEGO,R,INTIMEBIT,False,False,0;1;100022;0005|0;1;100022;0005,0;1;100022;0005,0;1;100022;0005,0;0;0;0,0;0;0;0,2,1,2,2,100379:EAA_B|100380:EBA_B,EHK,EHZ,,,TEK,,
SAN DIEGO,R,INTIMEBIT,False,False,0;1;100035;0005|0;1;100035;0005,0;1;100035;0005,0;1;100035;0005,0;0;0;0,0;0;0;0,2,1,3,3,100625:4E|100626:2E,2EGK|4EGK,2EGHS|4EGHS,,,2TEK|4TEK,,
SAN DIEGO,R,OPPOSING,False,False,5;1;100018;0005|0;1;100018;0005,0;1;100018;0005,0;1;100018;0005,0;0;0;0,0;0;0;0,2,1,2,2,100327:EB|100328:EA,EHKR,EHSR,,SIGSTOP,WHKR,,
SAN DIEGO,R,OPPOSING,False,False,5;1;100024;0005|0;1;100024;0005,0;1;100024;0005,0;1;100024;0005,0;0;0;0,0;0;0;0,2,1,2,2,100892:EA|100909:EB,EHK,EGHS,,SIGSTOP,WHK,,
ESCONDIDO,L,INTIMEBIT,True,False,0;1;200000;0006|0;1;200000;0006,0;1;200000;0006,0;1;200000;0006,0;0;0;0,5;1;200000;0006,1,1,2,2,200119:W-SIGNAL,WGK,WGHS,,,TEK,WGHCOS,
ESCONDIDO,L,INTIMEBIT,False,False,0;1;200002;0007|0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,0;0;0;0,0;0;0;0,1,1,1,1,200144:2W-SIGNAL,3WGK,3WGHS,,,3TEK,,
ESCONDIDO,L,INTIMEBIT,False,True,0;1;200002;0007|0;1;200002;0007,0;1;200002;0007,0;1;200002;0007,7;1;200002;0007,0;0;0;0,1,1,2,2,200152:W-SIGNAL,1WGK,1WGHS,,,1TEK,,1WNSSZ
ESCONDIDO,L,INTIMEBIT,False,False,0;1;200004;0008|0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,0;0;0;0,0;0;0;0,1,1,2,2,200164:W-SIGNAL,WGK,WGHS,,,TEK,,
ESCONDIDO,L,INTIMEBIT,False,True,0;1;200005;0009|0;1;200005;0009,0;1;200005;0009,0;1;200005;0009,6;1;200005;0009,0;0;0;0,1,1,1,1,200173:1W-SIGNAL,CRWGK,CRWGHS,,,CRWTEK,,1WNSSZ
ESCONDIDO,L,INTIMEBIT,False,False,0;1;200007;0013|0;1;200007;0013,0;1;200007;0013,0;1;200007;0013,0;0;0;0,0;0;0;0,1,1,2,6,200223:W-SIGNAL,WGK,WGHS,,,TEK,,
ESCONDIDO,L,INTIMEBIT,False,True,0;1;200012;0017|0;1;200012;0017,0;1;200012;0017,0;1;200012;0017,6;1;200012;0017,0;0;0;0,1,1,1,1,200260:WBNS ESCONDIDO AVE,E2WGK,E2WGHS,,,E2WTEK,,E2WGNS
ESCONDIDO,L,INTIMEBIT,False,True,0;1;200012;0017|0;1;200012;0017,0;1;200012;0017,0;1;200012;0017,4;1;200012;0017,0;0;0;0,1,1,1,1,200261:WBNS ESCON AVE,E1WGK,E1WGHS,,,E1WTEK,,E1WGNS
ESCONDIDO,L,INTIMEBIT,False,False,0;1;200013;0018|0;1;200013;0018,0;1;200013;0018,0;1;200013;0018,0;0;0;0,0;0;0;0,1,1,2,0,200257:W-SIGNAL,WGK,WGHS,,,TEK,,
ESCONDIDO,L,INTIMEBIT,False,True,0;1;200014;0019|0;1;200014;0019,0;1;200014;0019,0;1;200014;0019,4;1;200014;0019,0;0;0;0,1,1,2,2,200265:1W-SIGNAL,BWGK,BWGHS,,,BWTEK,,BWGNS
ESCONDIDO,L,INTIMEBIT,False,True,0;1;200017;0022|0;1;200017;0022,0;1;200017;0022,0;1;200017;0022,10;1;200017;0022,0;0;0;0,1,1,1,1,200262:WBNS CIVIC,SM1WGK,SM1WGHS,,,SM1WTEK,,SM1WGNS
ESCONDIDO,L,INTIMEBIT,False,True,0;1;200017;0022|0;1;200017;0022,0;1;200017;0022,0;1;200017;0022,12;1;200017;0022,0;0;0;0,1,1,1,1,200263:WBNS CIVIC CTR,SM2WGK,SM2WGHS,,,SM2WTEK,,SM2WGNS
ESCONDIDO,L,INTIMEBIT,False,False,0;1;200019;0024|0;1;200019;0024,0;1;200019;0024,0;1;200019;0024,0;0;0;0,0;0;0;0,1,1,2,0,200384:W-SIGNAL,WGK,WGHS,,,TEK,,
ESCONDIDO,L,INTIMEBIT,False,False,0;1;200020;0023|0;1;200020;0023,0;1;200020;0023,0;1;200020;0023,0;0;0;0,0;0;0;0,1,1,2,3,200330:W-SIGNAL,WGK,WGHS,,,TEK,,
ESCONDIDO,L,INTIMEBIT,False,True,0;1;200025;0025|0;1;200025;0025,0;1;200025;0025,0;1;200025;0025,6;1;200025;0025,0;0;0;0,1,1,2,2,200393:W-SIGNAL,NWGK,NWGHS,,,NWTEK,,NWGNS
ESCONDIDO,L,INTIMEBIT,False,False,0;1;200026;0026|0;1;200026;0026,0;1;200026;0026,0;1;200026;0026,0;0;0;0,0;0;0;0,1,1,1,1,200476:1W-SIGNAL,WGK,WGHS,,,TEK,,
ESCONDIDO,L,INTIMEBIT,False,False,0;1;200028;0028|0;1;200028;0028,0;1;200028;0028,0;1;200028;0028,0;0;0;0,0;0;0;0,1,1,1,1,200471:1W-SIGNAL,5WGK,5WGHS,,,5TEK,,
ESCONDIDO,R,INTIMEBIT,False,False,0;1;200003;0010|0;1;200003;0010,0;1;200003;0010,0;1;200003;0010,0;0;0;0,0;0;0;0,1,1,2,0,200168:1E-SIGNAL,EGK,EGHS,,,TEK,,
ESCONDIDO,R,INTIMEBIT,False,True,0;1;200004;0008|0;1;200004;0008,0;1;200004;0008,0;1;200004;0008,12;1;200004;0008,0;0;0;0,1,1,1,1,200150:EBNS COAST,CHEGK,CHEGHS,,,CHETEK,,1ENSSZ
ESCONDIDO,R,INTIMEBIT,False,True,0;1;200005;0009|0;1;200005;0009,0;1;200005;0009,0;1;200005;0009,4;1;200005;0009,0;0;0;0,1,1,2,2,200169:1E-SIGNAL,CREGK,CREGHS,,,CRETEK,,1ENSSZ
ESCONDIDO,R,INTIMEBIT,False,True,0;1;200006;0012|0;1;200006;0012,0;1;200006;0012,0;1;200006;0012,6;1;200006;0012,0;0;0;0,1,1,1,0,200170:1E-SIGNAL,R2EGK,R2EGHS,,,R2ETEK,,R2EGNS
ESCONDIDO,R,INTIMEBIT,False,True,0;1;200006;0012|0;1;200006;0012,0;1;200006;0012,0;1;200006;0012,4;1;200006;0012,0;0;0;0,1,1,1,0,200171:1E-SIGNAL,R1EGK,R1EGHS,,,R1ETEK,,R1EGNS
ESCONDIDO,R,INTIMEBIT,False,True,0;1;200008;0011|0;1;200008;0011,0;1;200008;0011,0;1;200008;0011,4;1;200008;0011,0;0;0;0,1,1,1,1,200167:1E-SIGNAL,EC1EGK,EC1EGHS,,,EC1ETEK,,EC1EGNS
ESCONDIDO,R,INTIMEBIT,False,True,0;1;200008;0011|0;1;200008;0011,0;1;200008;0011,0;1;200008;0011,6;1;200008;0011,0;0;0;0,1,1,1,1,200172:1E-SIGNAL,EC2EGK,EC2EGHS,,,EC2ETEK,,EC2EGNS
ESCONDIDO,R,INTIMEBIT,False,True,0;1;200009;0014|0;1;200009;0014,0;1;200009;0014,0;1;200009;0014,4;1;200009;0014,0;0;0;0,1,1,2,2,200267:1E-SIGNAL,MEGK,MEGHS,,,METEK,,MEGNS
ESCONDIDO,R,INTIMEBIT,False,False,0;1;200010;0015|0;1;200010;0015,0;1;200010;0015,0;1;200010;0015,0;0;0;0,0;0;0;0,1,1,2,0,200243:E-SIGNAL,EGK,EGHS,,,TEK,,
ESCONDIDO,R,INTIMEBIT,False,True,0;1;200011;0016|0;1;200011;0016,0;1;200011;0016,0;1;200011;0016,4;1;200011;0016,0;0;0;0,1,1,1,1,200268:E-SIGNAL,V1EGK,V1EGHS,,,V1ETEK,,V1EGNS
ESCONDIDO,R,INTIMEBIT,False,True,0;1;200011;0016|0;1;200011;0016,0;1;200011;0016,0;1;200011;0016,6;1;200011;0016,0;0;0;0,1,1,1,1,200269:1E-SIGNAL,V2EGK,V2EGHS,,,V2ETEK,,V2EGNS
ESCONDIDO,R,INTIMEBIT,False,True,0;1;200015;0021|0;1;200015;0021,0;1;200015;0021,0;1;200015;0021,4;1;200015;0021,0;0;0;0,1,1,1,1,200307:1E-SIGNAL,P1EGK,P1EGHS,,,P1ETEK,,P1EGNS
ESCONDIDO,R,INTIMEBIT,False,False,0;1;200015;0021|0;1;200015;0021,0;1;200015;0021,0;1;200015;0021,6;1;200015;0021,0;0;0;0,1,1,1,1,200308:1E-SIGNAL,P2EGK,P2EGHS,,,P2ETEK,,P2EGNS
ESCONDIDO,R,INTIMEBIT,False,False,0;1;200016;0020|0;1;200016;0020,0;1;200016;0020,0;1;200016;0020,0;0;0;0,0;0;0;0,1,1,2,2,200296:E-SIGNAL,EGK,EGHS,,,TEK,,
ESCONDIDO,R,INTIMEBIT,False,True,0;1;200017;0022|0;1;200017;0022,0;1;200017;0022,0;1;200017;0022,6;1;200017;0022,0;0;0;0,1,1,2,2,200316:E-SIGNAL,EGK,EGHS,EGNK,,TEK,,EGNS
ESCONDIDO,R,INTIMEBIT,False,True,0;1;200017;0022|0;1;200017;0022,0;1;200017;0022,0;1;200017;0022,15;1;200017;0022,0;0;0;0,1,1,1,1,200324:EBNS CIVIC,SM2EGK,SM2EGHS,,,SM2ETEK,,SM2EGNS
ESCONDIDO,R,INTIMEBIT,False,True,0;1;200025;0025|0;1;200025;0025,0;1;200025;0025,0;1;200025;0025,4;1;200025;0025,0;0;0;0,1,1,1,1,200413:E-SIGNAL,NEGK,NEGHS,,,NETEK,,NEGNS
ESCONDIDO,R,INTIMEBIT,False,False,0;1;200026;0026|0;1;200026;0026,0;1;200026;0026,0;1;200026;0026,0;0;0;0,0;0;0;0,1,1,2,2,200475:1E-SIGNAL,EGK,EGHS,,,TEK,,
ESCONDIDO,R,INTIMEBIT,False,False,0;1;200028;0028|0;1;200028;0028,0;1;200028;0028,0;1;200028;0028,0;0;0;0,0;0;0;0,1,1,1,1,200469:E-SIGNAL,5EGK,5EGHS,,,5TEK,,
SAN DIEGO,L,INTIMEBIT,True,False,0;1;100008;0005|0;1;100008;0005,0;1;100008;0005,0;1;100008;0005,0;0;0;0,8;1;100008;0005,1,1,4,4,100491:2W-SIGNAL,WGK,WGHS,,,TEK,WCOGHS,
SAN DIEGO,L,INTIMEBIT,False,False,0;1;100009;0005|0;1;100009;0005,0;1;100009;0005,0;1;100009;0005,0;0;0;0,0;0;0;0,1,1,2,2,100221:WA_B,WHK,WHS,,,TEK,,
SAN DIEGO,L,INTIMEBIT,True,False,0;1;100013;0005|0;1;100013;0005,0;1;100013;0005,0;1;100013;0005,0;0;0;0,12;1;100013;0005,1,1,6,6,100264:4W-SIGNAL,4WGK,4WGHS,,,4TEK,4WCOGHS,
SAN DIEGO,L,INTIMEBIT,True,False,0;1;100013;0005|0;1;100013;0005,0;1;100013;0005,0;1;100013;0005,0;0;0;0,14;1;100013;0005,1,1,3,3,100277:6W-SIGNAL,6WGK,6WGHS,,,6TEK,6WCOGHS,
SAN DIEGO,L,INTIMEBIT,True,False,0;1;100013;0005|0;1;100013;0005,0;1;100013;0005,0;1;100013;0005,0;0;0;0,10;1;100013;0005,1,1,5,5,100288:2W-SIGNAL,2WGK,2WGHS,,,2TEK,2WCOHS,
SAN DIEGO,L,INTIMEBIT,False,False,0;1;100015;0005|0;1;100015;0005,0;1;100015;0005,0;1;100015;0005,0;0;0;0,0;0;0;0,1,1,2,2,100826:WA_B,WGK,WGHS,,,TEK,,
SAN DIEGO,L,INTIMEBIT,False,False,0;1;100016;0005|0;1;100016;0005,0;1;100016;0005,0;1;100016;0005,0;0;0;0,0;0;0;0,1,1,2,2,100313:WA_B,WGK,WGHS,,,TEK,,
SAN DIEGO,L,INTIMEBIT,False,False,0;1;100022;0005|0;1;100022;0005,0;1;100022;0005,0;1;100022;0005,0;0;0;0,0;0;0;0,1,1,2,2,100386:WA_B,WHK,WHZ,,,TEK,,
SAN DIEGO,L,OPPOSING,False,False,5;1;100018;0005|0;1;100018;0005,0;1;100018;0005,0;1;100018;0005,0;0;0;0,0;0;0;0,1,1,2,2,100334:WA_B,WHKR,WHSR,,SIGSTOP,EHKR,,
SAN DIEGO,L,OPPOSING,False,False,5;1;100024;0005|0;1;100024;0005,0;1;100024;0005,0;1;100024;0005,0;0;0;0,0;0;0;0,1,1,2,2,100408:WA_B,WHK,WGHS,,SIGSTOP,EHK,,
SAN DIEGO,R,INTIMEBIT,False,False,0;1;100000;0005|0;1;100000;0005,0;1;100000;0005,0;1;100000;0005,0;0;0;0,0;0;0;0,1,1,2,2,100727:EA_B,EGK,EGHS,,,TEK,,
SAN DIEGO,R,INTIMEBIT,False,False,0;1;100001;0005|0;1;100001;0005,0;1;100001;0005,0;1;100001;0005,0;0;0;0,0;0;0;0,1,1,2,2,100121:EA_B,EGK,EGHS,,,TEK,,
SAN DIEGO,R,INTIMEBIT,False,False,0;1;100003;0005|0;1;100003;0005,0;1;100003;0005,0;1;100003;0005,0;0;0;0,0;0;0;0,1,1,2,2,100142:EA_B,EGK,EGHS,,,TEK,,
SAN DIEGO,R,INTIMEBIT,True,False,0;1;100011;0005|0;1;100011;0005,0;1;100011;0005,0;1;100011;0005,0;0;0;0,6;1;100011;0005,1,1,2,2,100705:E-SIGNAL,EGK,EGHS,,,TEK,ECOGHS,
SAN DIEGO,R,INTIMEBIT,False,False,0;1;100019;0005|0;1;100019;0005,0;1;100019;0005,0;1;100019;0005,0;0;0;0,0;0;0;0,1,1,2,2,100350:EA_B,EGK,EGHS,,,TEK,,
SAN DIEGO,R,INTIMEBIT,False,False,0;1;100025;0005|0;1;100025;0005,0;1;100025;0005,0;1;100025;0005,0;0;0;0,0;0;0;0,1,1,2,2,100184:EA_B,EGK,EGHS,,,TEK,,
SAN DIEGO,R,INTIMEBIT,False,False,0;1;100027;0005|0;1;100027;0005,0;1;100027;0005,0;1;100027;0005,0;0;0;0,0;0;0;0,1,1,3,3,100440:2EA_B,2EGK,2EGHS,,,TEK,,
SAN DIEGO,R,INTIMEBIT,True,False,0;1;100033;0005|0;1;100033;0005,0;1;100033;0005,0;1;100033;0005,0;0;0;0,22;1;100033;0005,1,1,4,4,100528:4EA_B,4EGK,4EGHS,,,4TEK,4ECOGHS,
SAN DIEGO,R,INTIMEBIT,True,False,0;1;100033;0005|0;1;100033;0005,0;1;100033;0005,0;1;100033;0005,0;0;0;0,6;1;100033;0005,1,1,6,6,100692:2EA_B,2EGK,2EGHS,,,2TEK,2ECOGHS,
